iter	Passed	Remaining
0	1	133
1	2	116
2	3	111
3	4	103
4	5	104
5	6	105
6	7	102
7	8	102
8	10	101
9	11	100
10	12	99
11	13	98
12	14	97
13	15	95
14	16	94
15	17	94
16	19	93
17	20	92
18	21	91
19	22	89
20	23	88
21	24	87
22	25	85
23	26	84
24	27	83
25	28	82
26	30	81
27	31	79
28	32	78
29	33	77
30	34	76
31	35	75
32	36	74
33	37	73
34	38	71
35	39	70
36	40	69
37	41	68
38	43	67
39	44	66
40	45	65
41	45	63
42	47	62
43	48	61
44	49	60
45	50	59
46	51	58
47	52	56
48	53	55
49	54	54
50	55	53
51	56	52
52	58	51
53	59	50
54	59	49
55	61	47
56	62	46
57	63	45
58	64	44
59	65	43
60	66	42
61	67	41
62	68	40
63	69	39
64	71	38
65	72	37
66	73	36
67	74	35
68	75	33
69	76	32
70	77	31
71	78	30
72	79	29
73	80	28
74	81	27
75	83	26
76	84	25
77	85	24
78	86	22
79	87	21
80	88	20
81	89	19
82	90	18
83	91	17
84	92	16
85	94	15
86	95	14
87	96	13
88	97	12
89	98	10
90	100	9
91	101	8
92	102	7
93	103	6
94	105	5
95	106	4
96	108	3
97	109	2
98	110	1
99	111	0
